rooms_count,utm_easting,utm_northing,city_type,building_age,price_per_m2,location_latitude,location_longitude
1.0,700606.3905726142,3805121.481791941,1,0,55000000.0,34.36804199,47.18155289
1.0,562529.2290849973,3611180.4601038056,1,0,300000000.0,32.63644409,51.66663742
1.0,504752.18316675257,3202477.346523568,0,7,33333333.33333333,28.95027351,51.04876709
2.0,648979.283585544,3262605.8016583417,1,0,80000000.0,29.48410606,52.53668213
1.0,543893.8447068554,3948855.7977533937,1,9,104000000.0,35.682621,51.48508072
2.0,510349.5876059292,3937164.8441651487,0,13,17857142.85714286,35.57813263,51.11422729
0.0,680503.1038614062,4265914.165283276,0,16,136363.63636363635,38.52333069,47.07060623
0.0,435437.9606605326,3702101.765552565,0,34,486111.1111111111,33.45640564,50.30528259
0.0,567847.206180436,3953473.258085268,0,1,100000000.0,35.72289276,51.75016785
2.0,539252.7505152741,3954705.834593858,1,11,1010101.009090909,35.73556137,51.43407822
1.0,544555.3135649457,3953793.287530538,1,18,114285714.28571428,35.727108,51.49266434
2.0,257219.4555856812,3787022.233537211,0,2,45535714.28571428,34.19595718,48.36529922
2.0,497195.4828048082,3964281.544251163,1,19,37745098.03921568,35.82267761,50.96895218
0.0,738012.3871418366,3850925.9018165385,0,8,93333.33333333331,34.7727623,47.60082245
1.0,629729.196630236,3315858.5684890677,1,21,769230.7692307692,29.9667244,52.34456253
5.0,228784.3364087864,3370927.902553721,0,13,20645161.29032258,30.43997574,48.17596817
2.0,408899.8217426528,3966862.3789391257,0,0,1612903.2258064516,35.84171677,49.99123764
0.0,642063.1552769772,3270337.9095700416,1,6,25000000.0,29.55467224,52.46636963
0.0,745153.4253227989,3995410.9621274094,0,9,692307.6923076923,36.0724144,53.72224426
2.0,613370.502917224,4214144.582001615,1,34,100000000.0,38.06796646,46.29244232
1.0,494386.6872679207,3965143.454366256,1,5,60000000.0,35.83043671,50.93785095
0.0,613537.2397180247,4215701.489845088,1,8,357142.8571428572,38.08197403,46.29459
0.0,572247.5819675551,3621392.750447799,1,5,10000000.0,32.72796631,51.77103043
0.0,732422.8255361815,4021833.9627655377,1,23,200000000.0,36.31351852,59.58884048
0.0,425908.1847132964,3640615.199036381,0,18,62500.0,32.90122604,50.20775223
0.0,608288.3863714606,3665203.515015418,0,11,44262295.08196721,33.12012482,46.16075134
1.0,548468.6562022005,3956074.0300716185,1,6,523809523.8095238,35.74748611,51.53607178
1.0,490549.5304700767,3197481.561317597,0,14,1519756.838905775,28.90515518,50.90306091
0.0,375790.36768537946,3402903.406660029,0,3,11111111.111111112,30.75259781,49.70230484
0.0,252767.5990085377,3582208.484109849,0,0,2900000.0,32.34948349,48.37292862
0.0,497028.066491523,3963400.719368148,1,7,89743589.74358974,35.81473541,50.96710205
0.0,486423.5019156157,3614516.498436319,0,11,523809.5238095238,32.66822433,50.85520554
3.0,533014.0445123195,3950829.418149534,1,34,93220338.98305084,35.70084,51.3649292
0.0,504165.28677077545,4151518.070749468,0,5,82000000.0,37.51059723,45.04713058
0.0,240284.35190863872,3359146.8530651825,0,0,53947368.42105264,30.33631706,48.29852295
0.0,296712.5268210179,3796420.082119409,0,13,44444444.44444445,34.28910446,48.79136658
0.0,571594.5669763482,3607354.931055552,1,13,10000000.0,32.60138702,51.76298523
1.0,485509.9416980483,3830964.557585908,1,19,20798668.885191347,34.62044525,50.8419342
0.0,522027.0687011856,4146162.897143309,0,4,710843.373493976,37.46207428,45.24907684
0.0,502333.0873639368,4158281.1862360537,0,4,28947368.42105263,37.57156372,45.02642059
1.0,534012.3085577866,3950055.115548885,1,26,86904761.90476191,35.69382477,51.37593079
2.0,505779.7482819694,4152107.726106475,0,0,40909090.90909091,37.51590347,45.06540298
5.0,539995.9740098243,3957267.6436390807,1,16,126530612.24489796,35.75862885,51.44242477
0.0,464836.9491116362,3976400.672134828,0,7,1300000.0,35.93131638,50.61019135
0.0,497766.322877073,3947353.214937777,1,22,93023255.81395347,35.67004776,50.97531891
2.0,691883.1301430265,3799912.4759738906,1,23,11111111.11,34.32275009,47.08558273
0.0,485853.8751610876,3953387.2370594433,0,9,85000000.0,35.72435379,50.84358597
2.0,498353.0721285877,4267476.969655079,0,5,32142857.14285714,38.5557251,44.98109818
2.0,539670.6672300356,3953434.165370999,1,20,109195402.29885058,35.72407913,51.43863678
0.0,602830.2245587172,4199217.175133061,0,0,600000.0,37.93471527,46.17016602
0.0,536972.7555697131,3166142.1822320474,0,6,33333333.33333333,28.62178421,51.37822723
0.0,629938.1274833506,3078695.088424297,0,0,30000000.0,27.82662201,52.3193779
1.0,614518.5979526957,4213161.920206481,1,13,511111111.1111111,38.05896759,46.30537033
0.0,683369.0002582555,4047384.2466727975,0,1,150000000.0,36.5542984,53.04885483
0.0,663072.6806257279,4011224.487059106,0,13,285714.28571428574,36.23215103,58.81459427
2.0,411263.9548083626,4016320.7888111104,0,1,77058823.52941176,36.28777695,50.01185226
5.0,409730.4773362994,4013848.640245289,0,8,51020408.1632653,36.26535034,49.99506378
0.0,539789.1331146806,3954406.1316587366,1,10,310576923.0769231,35.73283768,51.43999481
3.0,739394.0996901483,4016510.4627186633,1,7,15625000.0,36.26387024,59.66478348
0.0,635542.2700569105,3220810.4908895018,0,0,120000.0,29.10852051,58.39299011
1.0,564858.8113718079,3612485.632056696,1,4,71818181.81818181,32.64808273,51.69156265
4.0,274518.82744095544,3469503.6237749094,1,32,19000000.0,31.33814049,48.6300087
0.0,641879.6985651314,3274416.775767792,1,2,103658536.58536585,29.59149361,52.46500778
0.0,731098.8540169855,4026005.81487258,1,8,50000000.0,36.35140991,59.57534409
0.0,484453.2093388347,3487194.253176116,0,0,100000000.0,31.51954269,50.83625412
2.0,577939.4558049145,3955077.74361828,0,29,184782608.6956522,35.73661041,51.86190033
1.0,234808.41831336237,3717060.029666281,0,9,2242744.063324538,33.56029129,48.14344025
3.0,552133.8561920564,3954121.8667294015,1,9,157894736.84210527,35.72969818,51.57648087
1.0,532430.6020059693,3412145.322029779,0,28,300000.0,30.84203911,51.33914948
0.0,412222.6073569618,4001687.9648336815,0,23,2500000.0,36.15596008,50.02416611
0.0,554650.8420821701,3608781.575841134,1,0,116666666.66666669,32.61522293,51.58250809
0.0,371862.03016902966,4125139.218822952,0,4,59000000.0,37.26401138,49.55488968
4.0,392757.0151636382,3521725.8356670784,0,9,3000000.0,31.82615471,49.86678314
0.0,641233.0382007048,3281106.192018365,1,10,250000000.0,29.65192032,52.45920181
0.0,257730.7603489101,4102166.12084436,0,0,5833.333333333333,37.0344696,48.27619553
0.0,536419.2623017841,3952847.7779369806,1,28,500000000.0,35.71891785,51.40266037
2.0,529729.7967894138,3956959.866853303,1,20,102727272.72727272,35.75621796,51.32885361
0.0,500786.4632772359,3954971.457348842,0,3,80000000.0,35.73873901,51.00869751
1.0,497464.9163483016,3966594.094969151,1,8,130476190.47619048,35.84352875,50.97192764
2.0,683727.59154794,4047884.75302672,0,22,42372881.355932206,36.55873871,53.05297852
5.0,506197.3588889666,4155815.3927344726,0,7,888.8888888888889,37.54932022,45.07015991
1.0,514327.38966660993,3935277.921678663,0,20,28888888.888888888,35.56106949,51.15809631
0.0,543824.1183765975,3944931.2279412006,1,17,269444444.4444444,35.64723969,51.48409653
0.0,276935.3840287614,3853279.2498882767,0,20,21250000.0,34.79734421,48.56175613
1.0,533639.1733246525,3951340.745244552,1,34,74074.07333333333,35.70542908,51.3718605
2.0,577474.2598501759,3619652.495388889,1,1,14166666.666666666,32.71191406,51.82666016
2.0,541285.2248866528,3959604.428042317,1,10,130000000.0,35.77964401,51.45680618
0.0,487371.8070465505,3577065.053695261,0,11,350000.0,32.3303833,50.86582184
0.0,627145.3841223731,3302314.2362504723,1,29,3333333.333333333,29.84479332,52.31618118
2.0,374590.7629149957,4131082.5561770382,0,8,37795275.59055118,37.31793976,49.58465195
2.0,527458.1305102152,3935709.306492938,0,6,281250000.0,35.56468201,51.3030014
2.0,539864.5007834064,3954446.6637453656,1,3,55555555.555,35.73320007,51.44083023
0.0,340057.77452104964,3533812.616818978,0,0,347222.21875,31.92897797,49.30810165
2.0,614406.3662854998,4215171.3206440015,1,34,533333333.3333333,38.0770874,46.30441284
2.0,269740.4319569043,4054733.943603736,0,28,47120418.84816754,36.61034012,54.42544937
0.0,496699.44842527976,4256850.899630593,0,2,3086.4194444444443,38.45995712,44.96216965
5.0,534808.7715974159,3959317.2457387857,1,16,131034482.7586207,35.7773056,51.38513565
0.0,489062.3860027384,3832619.5648430735,1,13,175000000.0,34.63541412,50.88066483
5.0,505805.0636578246,4154958.096778357,0,1,7000000.0,37.54159546,45.06571198
5.0,493356.92393309367,3828203.495719492,1,34,18125000.0,34.59562683,50.92755508
3.0,488990.97109373455,3969999.748518157,1,11,30000000.0,35.87417603,50.87804413
2.0,474295.0660623989,3598076.6374231926,0,3,888888.8888888889,32.51970673,50.72630692
1.0,539106.0502458733,3954726.3422033936,1,1,160000000.0,35.73575211,51.43245697
0.0,257222.09158022283,3786035.578095629,0,34,10000000.0,34.18706894,48.3656044
1.0,391319.18324894126,3522027.875030433,0,18,29708853.23796792,31.82874298,49.85155869
0.0,486526.3195170205,3837060.320061217,1,1,23363636.363636363,34.6754303,50.85292435
0.0,274319.33726440114,3464419.1333989976,1,0,14000000.0,31.29226494,48.62906265
0.0,480348.1861236474,4223306.913648237,0,18,438931.2977099237,38.15743637,44.77568817
0.0,279417.5599922357,3467195.2209421005,1,34,1000000000.0,31.31826973,48.6819725
0.0,374148.8512958436,4124143.228230077,0,23,250000000.0,37.25534821,49.58084106
0.0,503575.78803219815,3199665.5749358814,0,0,40000000.0,28.92489815,51.03668594
2.0,553271.8144477402,3619609.9743286,1,0,30000000.0,32.71296692,51.56842804
0.0,562713.0929873385,3927641.503467572,0,2,39130434.782608695,35.49033737,51.69139862
2.0,537920.8179053945,3952128.877627287,1,4,119658119.65811966,35.71237946,51.4192276
0.0,677170.0952375963,3852470.989984391,0,8,833333.3333333334,34.79907608,46.93670273
0.0,509920.3047192492,3941830.486396071,0,6,8000000.0,35.62020493,51.10954666
2.0,660582.0611985875,3308073.091874119,0,1,1952380.9523809524,29.89284134,52.66306305
5.0,532782.5943443633,3950797.2517525433,1,27,15000000.0,35.70055771,51.36236954
3.0,537469.2470040953,3958388.3942352952,1,19,144444444.44444445,35.76883316,51.41452789
2.0,411449.4866046439,4019161.885519184,0,0,64444444.44444445,36.31340408,50.01359558
2.0,510764.0434426544,4153318.848239469,0,23,45454545.45454545,37.52677536,45.12182236
1.0,563709.2252804595,3615841.997759302,1,3,80000000.0,32.67842484,51.67953491
0.0,535646.8981815754,4057474.3783449833,0,0,46153846.15384615,36.66220093,51.39887619
0.0,724228.0406376993,4021342.690843327,1,30,200000000.0,36.31103516,59.49750137
2.0,563959.868082578,3612792.7682954846,1,18,55040000.0,32.65090561,51.68199921
0.0,497710.014000646,3967238.401118583,1,28,888888888.8888888,35.84933853,50.97463989
0.0,250036.5442458864,3581883.9211664726,1,0,900000.0,32.34595108,48.34402084
0.0,707077.9957909056,3640490.9356308463,0,13,28666666.666666668,32.88301849,59.21358871
0.0,319779.91813321423,3706232.3832342857,0,29,32432432.43243243,33.48042679,49.06034088
0.0,486913.8073891191,3959517.870335188,1,12,30000000.0,35.77964401,50.85520554
0.0,495009.584433382,3963853.9140697215,1,13,16666666.666666666,35.81881332,50.94475555
0.0,384152.9534256748,4115903.9177164673,0,13,360000.0,37.18239594,49.69490433
0.0,260921.8835450941,3706201.841962812,0,8,20833333.33333333,33.46862411,48.42736435
0.0,507280.68563580007,3927447.627131559,0,7,57758620.68965517,35.49054337,51.08026886
0.0,502328.83551429264,3950473.056910192,0,3,450000.0,35.69817734,51.02574158
0.0,449328.0021805066,3941723.251740018,0,4,1325000.0,35.61798859,50.44046402
2.0,561654.6511445085,4007046.6968494966,0,34,185000000.0,36.20628357,57.68586731
2.0,562095.42507528,3632571.818275472,1,16,7500000.0,32.829422,51.6634407
0.0,610230.9547367038,4223118.20394522,1,12,7333333.333333333,38.14921188,46.2580452
0.0,358443.8786371818,4114726.9660144094,0,21,94339622.64150944,37.16824722,49.40559006
2.0,537198.3456139236,3958440.5631766138,1,18,155405405.4054054,35.76931381,51.41153336
0.0,279270.01036261045,3470794.9687033007,1,3,331168831.1688312,31.35069466,48.67962646
1.0,311510.1063071663,4254836.574686072,0,7,574468.085106383,38.42191315,48.84081268
1.0,724512.0585767229,4020460.190820907,1,5,1000000.0,36.30302048,59.50040817
0.0,558093.6601014666,3930772.560615413,1,34,4166666.6666666665,35.51884842,51.64069748
3.0,509633.0790301276,3926588.0552906166,0,4,17142857.14285714,35.48277283,51.10619354
0.0,510695.0200511556,3927506.900675269,0,18,40277777.777777776,35.49104691,51.11791229
2.0,589243.5935177109,4208667.90733624,1,6,3984447.8005205486,38.02131653,46.01675415
0.0,562518.1714803642,3610718.58202397,1,28,1000000000.0,32.63227844,51.66648865
0.0,453636.3398279117,3816890.2185744,1,8,666666.6666666666,34.49258041,50.49501419
0.0,557400.0126456079,3917818.879665757,0,34,2777777.777777778,35.40209579,51.63213348
2.0,778497.8737985039,3572628.970287195,0,8,20000000.0,32.25582504,53.95613098
3.0,520840.5446511968,3237244.68451943,0,17,17222222.222222224,29.26391411,51.21451569
0.0,524750.668317225,3951857.311176637,1,5,228125000.0,35.71035004,51.27362061
0.0,523463.94252989686,3950410.659810029,1,31,486842105.2631579,35.6973381,51.25935364
2.0,657425.4327869441,3624832.9613739513,1,1,552380.9523809524,32.750103,52.6803894
2.0,551259.2597482037,3933610.766463218,0,3,15000000.0,35.54481506,51.56550598
0.0,561557.7390848846,3926275.3351561306,0,15,47000000.0,35.47809219,51.67855835
0.0,496383.3648963032,3970298.675722404,1,5,140000000.0,35.87692642,50.95993423
